27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.3560000; 
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.3560000; 02.05.2020 00:03:38.5600000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.3640000; 02.05.2020 00:03:38.5680000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.3640000; 02.05.2020 00:03:38.5680000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.3660000; 02.05.2020 00:03:38.5700000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.3660000; 02.05.2020 00:03:38.5700000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.3520000; 02.05.2020 00:03:39.4090000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.3520000; 02.05.2020 00:03:39.4290000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.3520000; 02.05.2020 00:03:39.5140000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.3520000; 02.05.2020 00:03:39.5290000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.3520000; 02.05.2020 00:03:39.5450000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.3520000; 02.05.2020 00:03:39.5610000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.7420000; 02.05.2020 00:03:38.9460000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.7420000; 02.05.2020 00:03:38.9460000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.7440000; 02.05.2020 00:03:38.9480000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.7440000; 02.05.2020 00:03:38.9480000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.7460000; 02.05.2020 00:03:38.9500000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 02.05.2020 00:03:38.7460000; 02.05.2020 00:03:38.9500000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.7360000; 02.05.2020 00:03:39.8820000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.7360000; 02.05.2020 00:03:39.9050000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.7360000; 02.05.2020 00:03:39.9210000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.7360000; 02.05.2020 00:03:39.9380000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.05.2020 00:03:38.7360000; 02.05.2020 00:03:39.9540000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 04.05.2020 10:44:49.0860000; 04.05.2020 10:44:49.2900000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 04.05.2020 10:44:49.0860000; 04.05.2020 10:44:49.2900000
