27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.1430000; 
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.1430000; 01.08.2020 00:01:45.3460000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.1510000; 01.08.2020 00:01:45.3540000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.1510000; 01.08.2020 00:01:45.3540000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.1530000; 01.08.2020 00:01:45.3560000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.1530000; 01.08.2020 00:01:45.3560000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.08.2020 00:01:45.1390000; 01.08.2020 00:01:46.1960000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.08.2020 00:01:45.1390000; 01.08.2020 00:01:46.2200000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.08.2020 00:01:45.1390000; 01.08.2020 00:01:46.3240000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.08.2020 00:01:45.1390000; 01.08.2020 00:01:46.3400000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.08.2020 00:01:45.1390000; 01.08.2020 00:01:46.3560000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 01.08.2020 00:01:45.1390000; 01.08.2020 00:01:46.3720000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.5170000; 01.08.2020 00:01:45.7210000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.5170000; 01.08.2020 00:01:45.7210000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 01.08.2020 00:01:45.5190000; 01.08.2020 00:01:45.7230000
