27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.5990000; 
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.5990000; 02.03.2020 00:09:18.8030000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.6070000; 02.03.2020 00:09:18.8110000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.6070000; 02.03.2020 00:09:18.8110000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.6090000; 02.03.2020 00:09:18.8130000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.6090000; 02.03.2020 00:09:18.8130000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.5930000; 02.03.2020 00:09:19.6570000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.5930000; 02.03.2020 00:09:19.6760000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.5930000; 02.03.2020 00:09:19.7880000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.5930000; 02.03.2020 00:09:19.8200000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.5930000; 02.03.2020 00:09:19.8360000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.5930000; 02.03.2020 00:09:19.8530000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.9850000; 02.03.2020 00:09:19.1890000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.9850000; 02.03.2020 00:09:19.1890000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.9870000; 02.03.2020 00:09:19.1910000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.9870000; 02.03.2020 00:09:19.1910000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.9890000; 02.03.2020 00:09:19.1930000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 02.03.2020 00:09:18.9890000; 02.03.2020 00:09:19.1930000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.9800000; 02.03.2020 00:09:20.1320000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.9800000; 02.03.2020 00:09:20.1450000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.9800000; 02.03.2020 00:09:20.1640000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.9800000; 02.03.2020 00:09:20.1840000
201798; Asse ZM1_ DRV_3.15:3 (30), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 02.03.2020 00:09:18.9800000; 02.03.2020 00:09:20.2050000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.1760000; 03.03.2020 00:15:20.3800000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.1760000; 03.03.2020 00:15:20.3800000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 03.03.2020 00:15:20.1840000; 03.03.2020 00:15:20.3880000
