703736; Riparo di carico: è presente un'anomalia nel convertitore --> vedi immagine diagnostica S120; sinumerik_alarm_plc_pmc; 19.12.2019 23:14:01.1480000; 
703736; Riparo di carico: è presente un'anomalia nel convertitore --> vedi immagine diagnostica S120; sinumerik_alarm_plc_pmc; 07.01.2020 08:17:05.6980000; 07.01.2020 08:17:06.7370000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.5920000; 07.01.2020 08:17:16.7960000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.5920000; 07.01.2020 08:17:16.7960000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.6000000; 07.01.2020 08:17:16.8040000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.6000000; 07.01.2020 08:17:16.8040000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.6020000; 07.01.2020 08:17:16.8060000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.6020000; 07.01.2020 08:17:16.8060000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 07.01.2020 08:17:16.5950000; 07.01.2020 08:17:17.6450000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 07.01.2020 08:17:16.5950000; 07.01.2020 08:17:17.6690000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 07.01.2020 08:17:16.5960000; 07.01.2020 08:17:17.7530000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 07.01.2020 08:17:16.5960000; 07.01.2020 08:17:17.7690000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 07.01.2020 08:17:16.5960000; 07.01.2020 08:17:17.7850000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 07.01.2020 08:17:16.5960000; 07.01.2020 08:17:17.8010000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.9660000; 07.01.2020 08:17:17.1700000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.9660000; 07.01.2020 08:17:17.1700000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.9680000; 07.01.2020 08:17:17.1720000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.9680000; 07.01.2020 08:17:17.1720000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.9700000; 07.01.2020 08:17:17.1740000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 07.01.2020 08:17:16.9700000; 07.01.2020 08:17:17.1740000
