704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 31.10.2019 17:31:29.1510000; 
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 05.11.2019 06:59:57.9040000; 05.11.2019 07:00:02.2430000
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 05.11.2019 07:00:02.4630000; 05.11.2019 07:00:10.3370000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:40.6820000; 05.11.2019 07:00:40.8860000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:40.6820000; 05.11.2019 07:00:40.8860000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:40.6900000; 05.11.2019 07:00:40.8940000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:40.6900000; 05.11.2019 07:00:40.8940000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:40.6920000; 05.11.2019 07:00:40.8960000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:40.6920000; 05.11.2019 07:00:40.8960000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:40.6780000; 05.11.2019 07:00:41.7390000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:40.6780000; 05.11.2019 07:00:41.7550000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:40.6790000; 05.11.2019 07:00:41.8070000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:40.6790000; 05.11.2019 07:00:41.8230000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:40.6790000; 05.11.2019 07:00:41.8390000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:40.6790000; 05.11.2019 07:00:41.8550000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:41.0680000; 05.11.2019 07:00:41.2720000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:41.0680000; 05.11.2019 07:00:41.2720000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:41.0700000; 05.11.2019 07:00:41.2740000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:41.0700000; 05.11.2019 07:00:41.2740000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:41.0720000; 05.11.2019 07:00:41.2760000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 05.11.2019 07:00:41.0720000; 05.11.2019 07:00:41.2760000
201798; Asse Q_1_ DRV_3.15:2 (22), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:41.0620000; 05.11.2019 07:00:42.2070000
201798; Asse EL1_ DRV_3.15:4 (24), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:41.0620000; 05.11.2019 07:00:42.2310000
201798; Asse ES1_ DRV_3.15:6 (26), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:41.0620000; 05.11.2019 07:00:42.2510000
201798; Asse E_1_ DRV_3.15:5 (28), Componente NX_105 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 05.11.2019 07:00:41.0620000; 05.11.2019 07:00:42.3320000
; ----- Start Alarmerfassung -----; ; 05.11.2019 09:16:05.8920000; 05.11.2019 09:16:05.8920000
; ----- Avvio acquisizione allarmi -----; ; 05.11.2019 09:19:19.1190000; 05.11.2019 09:19:19.1190000
753838; Anomalia canale 1  DB2500.DBX0.3 Stato 0 manca; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0650000; 
754918; 0 logico  M0.0 manca; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0660000; 
754922; Un'ordine attivo al magazzino utensili ausiliario  DB3898.DBX1.0 manca; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0660000; 
754928; Magazzino utensili ausiliario: utensile in pinza 1 disponibile  DB3898.DBX2.0 manca; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0670000; 
754992; Magazzino utensili ausiliario: richiesta spostare dati  DB3898.DBX1.7 manca; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0670000; 
; ----- Start Alarmerfassung -----; ; 05.11.2019 09:28:48.8090000; 05.11.2019 09:28:48.8090000
753838; Störung Kanal 1  DB2500.DBX0.3 Status 0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0650000; 05.11.2019 09:30:40.3530000
754918; Logische 0  M0.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0660000; 05.11.2019 09:30:40.5360000
754922; Ein Auftrag ist am Zusatzmagazin aktiv  DB3898.DBX1.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0660000; 05.11.2019 09:30:40.5360000
754928; ZMag: Werkzeug in Greifer 1 vorhanden  DB3898.DBX2.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0670000; 05.11.2019 09:30:40.5370000
754992; ZMag: Anforderung Schieben der Daten   DB3898.DBX1.7 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:26:29.0670000; 05.11.2019 09:30:40.5370000
753838; Störung Kanal 1  DB2500.DBX0.3 Status 0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:33:41.0560000; 05.11.2019 09:40:18.3690000
754918; Logische 0  M0.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:33:41.0570000; 05.11.2019 09:40:18.1530000
754922; Ein Auftrag ist am Zusatzmagazin aktiv  DB3898.DBX1.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:33:41.0570000; 05.11.2019 09:40:18.1540000
754928; ZMag: Werkzeug in Greifer 1 vorhanden  DB3898.DBX2.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:33:41.0570000; 05.11.2019 09:40:18.1550000
754992; ZMag: Anforderung Schieben der Daten   DB3898.DBX1.7 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:33:41.0580000; 05.11.2019 09:40:18.1550000
753838; Störung Kanal 1  DB2500.DBX0.3 Status 0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:43:19.0480000; 05.11.2019 10:04:01.6880000
754918; Logische 0  M0.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:43:19.0490000; 05.11.2019 10:04:02.0490000
754922; Ein Auftrag ist am Zusatzmagazin aktiv  DB3898.DBX1.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:43:19.0490000; 05.11.2019 10:04:02.0490000
754928; ZMag: Werkzeug in Greifer 1 vorhanden  DB3898.DBX2.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:43:19.0500000; 05.11.2019 10:04:02.0490000
754992; ZMag: Anforderung Schieben der Daten   DB3898.DBX1.7 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 09:43:19.0500000; 05.11.2019 10:04:02.0500000
753838; Störung Kanal 1  DB2500.DBX0.3 Status 0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:07:02.6120000; 05.11.2019 10:23:05.9540000
754918; Logische 0  M0.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:07:02.6130000; 05.11.2019 10:23:05.9550000
754922; Ein Auftrag ist am Zusatzmagazin aktiv  DB3898.DBX1.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:07:02.6130000; 05.11.2019 10:23:05.9550000
754928; ZMag: Werkzeug in Greifer 1 vorhanden  DB3898.DBX2.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:07:02.6140000; 05.11.2019 10:23:05.9550000
754992; ZMag: Anforderung Schieben der Daten   DB3898.DBX1.7 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:07:02.6140000; 05.11.2019 10:23:05.9560000
753838; Störung Kanal 1  DB2500.DBX0.3 Status 0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:26:06.7930000; 05.11.2019 10:28:11.5300000
754918; Logische 0  M0.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:26:06.7940000; 05.11.2019 10:28:11.9910000
754922; Ein Auftrag ist am Zusatzmagazin aktiv  DB3898.DBX1.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:26:06.7940000; 05.11.2019 10:28:11.9920000
754928; ZMag: Werkzeug in Greifer 1 vorhanden  DB3898.DBX2.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:26:06.7940000; 05.11.2019 10:28:11.9920000
754992; ZMag: Anforderung Schieben der Daten   DB3898.DBX1.7 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:26:06.7950000; 05.11.2019 10:28:11.9930000
753838; Störung Kanal 1  DB2500.DBX0.3 Status 0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:31:12.2210000; 05.11.2019 12:52:53.7750000
754918; Logische 0  M0.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:31:12.2220000; 05.11.2019 12:52:53.7760000
754922; Ein Auftrag ist am Zusatzmagazin aktiv  DB3898.DBX1.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:31:12.2220000; 05.11.2019 12:52:53.7760000
754928; ZMag: Werkzeug in Greifer 1 vorhanden  DB3898.DBX2.0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:31:12.2220000; 05.11.2019 12:52:53.7770000
754992; ZMag: Anforderung Schieben der Daten   DB3898.DBX1.7 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 10:31:12.2230000; 05.11.2019 12:52:53.7770000
704334; Störung am Zusatzmagazin steht an; sinumerik_alarm_plc_pmc; 05.11.2019 12:49:09.5700000; 05.11.2019 12:52:53.6180000
753838; Störung Kanal 1  DB2500.DBX0.3 Status 0 fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 12:53:52.8740000; 05.11.2019 12:54:22.3180000
755013; ManageJobs Schritt 0   fehlt; sinumerik_alarm_plc_pmc; 05.11.2019 12:53:52.8750000; 05.11.2019 12:54:22.6380000
; ----- Avvio acquisizione allarmi -----; ; 05.11.2019 12:56:56.9670000; 05.11.2019 12:56:56.9670000
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 05.11.2019 13:21:35.9300000; 05.11.2019 13:24:07.1890000
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 05.11.2019 14:44:23.8870000; 05.11.2019 14:57:48.0630000
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 05.11.2019 16:42:15.4410000; 06.11.2019 08:06:33.0250000
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 06.11.2019 08:06:34.4820000; 06.11.2019 08:06:38.1900000
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 06.11.2019 08:06:38.6200000; 06.11.2019 08:06:41.7250000
704334; Anomalia presente al magazzino utensili ausiliarió; sinumerik_alarm_plc_pmc; 06.11.2019 08:06:42.1560000; 06.11.2019 08:06:42.3700000
27002; Asse X_1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:32.9840000; 06.11.2019 08:07:33.1880000
27002; Asse Y_1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:32.9840000; 06.11.2019 08:07:33.1880000
27002; Asse A_1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:32.9920000; 06.11.2019 08:07:33.1960000
27002; Asse SP1 test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:32.9920000; 06.11.2019 08:07:33.1960000
27002; Asse Z_1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:32.9940000; 06.11.2019 08:07:33.1980000
27002; Asse B_1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:32.9940000; 06.11.2019 08:07:33.1980000
201798; Asse B_1_ DRV_3.14:2 (15), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 06.11.2019 08:07:32.9810000; 06.11.2019 08:07:34.0460000
201798; Asse A_1_ DRV_3.14:3 (17), Componente NX_104 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 06.11.2019 08:07:32.9810000; 06.11.2019 08:07:34.0620000
201798; Asse X_1_ DRV_3.3:3 (11), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 06.11.2019 08:07:32.9820000; 06.11.2019 08:07:34.1500000
201798; Asse Y_1_ DRV_3.3:5 (12), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 06.11.2019 08:07:32.9820000; 06.11.2019 08:07:34.1860000
201798; Asse Z_1_ DRV_3.3:4 (13), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 06.11.2019 08:07:32.9820000; 06.11.2019 08:07:34.2020000
201798; Asse SP1 DRV_3.3:7 (18), Componente NCU_01 (1):SI Motion P1 (CU): Stop di prova per sorveglianze di movimento in corso.; fhy101011_05103400; 06.11.2019 08:07:32.9820000; 06.11.2019 08:07:34.2180000
27002; Asse ZM1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:33.3580000; 06.11.2019 08:07:33.5620000
27002; Asse Y_2_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:33.3580000; 06.11.2019 08:07:33.5620000
27002; Asse ES1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:33.3600000; 06.11.2019 08:07:33.5640000
27002; Asse E_1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:33.3600000; 06.11.2019 08:07:33.5640000
27002; Asse Q_1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:33.3620000; 06.11.2019 08:07:33.5660000
27002; Asse EL1_ test stop in corso; sinumerik_alarm_nck; 06.11.2019 08:07:33.3620000; 06.11.2019 08:07:33.5660000
