16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 03.08.2020 05:32:04.3520000; 
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.5660000; 03.08.2020 05:32:57.7700000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.5660000; 03.08.2020 05:32:57.7700000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.5740000; 03.08.2020 05:32:57.7780000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.5740000; 03.08.2020 05:32:57.7780000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.5760000; 03.08.2020 05:32:57.7800000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.5760000; 03.08.2020 05:32:57.7800000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 03.08.2020 05:32:57.5630000; 03.08.2020 05:32:58.6170000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 03.08.2020 05:32:57.5630000; 03.08.2020 05:32:58.6330000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 03.08.2020 05:32:57.5630000; 03.08.2020 05:32:58.7320000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 03.08.2020 05:32:57.5630000; 03.08.2020 05:32:58.7480000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 03.08.2020 05:32:57.5630000; 03.08.2020 05:32:58.7640000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 03.08.2020 05:32:57.5630000; 03.08.2020 05:32:58.7800000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.9400000; 03.08.2020 05:32:58.1440000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.9400000; 03.08.2020 05:32:58.1440000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.9420000; 03.08.2020 05:32:58.1460000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.9420000; 03.08.2020 05:32:58.1460000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.9440000; 03.08.2020 05:32:58.1480000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 03.08.2020 05:32:57.9440000; 03.08.2020 05:32:58.1480000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 03.08.2020 05:32:57.9360000; 03.08.2020 05:32:59.0810000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 03.08.2020 05:32:57.9360000; 03.08.2020 05:32:59.0960000
