27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.0670000; 
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.0670000; 02.03.2020 06:22:56.2710000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.0750000; 02.03.2020 06:22:56.2790000
27002; Achse SP1 Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.0750000; 02.03.2020 06:22:56.2790000
27002; Achse Z_1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.0770000; 02.03.2020 06:22:56.2810000
27002; Achse B_1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.0770000; 02.03.2020 06:22:56.2810000
201798; Achse B_1_ DRV_3.14:2 (15), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.0620000; 02.03.2020 06:22:57.1200000
201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.0620000; 02.03.2020 06:22:57.1360000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.0630000; 02.03.2020 06:22:57.2320000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.0630000; 02.03.2020 06:22:57.2480000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.0630000; 02.03.2020 06:22:57.2640000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.0620000; 02.03.2020 06:22:57.2770000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.4410000; 02.03.2020 06:22:56.6450000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.4410000; 02.03.2020 06:22:56.6450000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.4430000; 02.03.2020 06:22:56.6470000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.4430000; 02.03.2020 06:22:56.6470000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.4450000; 02.03.2020 06:22:56.6490000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 02.03.2020 06:22:56.4450000; 02.03.2020 06:22:56.6490000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.4350000; 02.03.2020 06:22:57.5700000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.4350000; 02.03.2020 06:22:57.5850000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.4350000; 02.03.2020 06:22:57.6050000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.4350000; 02.03.2020 06:22:57.6170000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 02.03.2020 06:22:56.4350000; 02.03.2020 06:22:57.6330000
910510; Spindel: Werkzeug : 201380 Duplonr.: 1 Störgrenze Schwinggeschwindigkeit (v_eff) überschritten oder Unwucht (siehe GROB-Spindeldiagnose); ; 02.03.2020 07:14:44.1030000; 02.03.2020 07:15:12.8830000
910510; Spindel: Werkzeug : 201380 Duplonr.: 1 Störgrenze Schwinggeschwindigkeit (v_eff) überschritten oder Unwucht (siehe GROB-Spindeldiagnose); ; 02.03.2020 07:15:41.3500000; 02.03.2020 07:16:03.1070000
910510; Spindel: Werkzeug : 201380 Duplonr.: 1 Störgrenze Schwinggeschwindigkeit (v_eff) überschritten oder Unwucht (siehe GROB-Spindeldiagnose); ; 02.03.2020 07:18:41.1280000; 02.03.2020 07:19:05.3960000
910510; Spindel: Werkzeug : 201380 Duplonr.: 1 Störgrenze Schwinggeschwindigkeit (v_eff) überschritten oder Unwucht (siehe GROB-Spindeldiagnose); ; 02.03.2020 07:44:09.9440000; 02.03.2020 07:44:20.5210000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 02.03.2020 08:28:57.0230000; 02.03.2020 08:29:00.2060000
531100; Kollision Werkzeug mit Türe! Zielposition verändern bzw. freifahren; sinumerik_alarm_plc_pmc; 02.03.2020 08:33:28.1230000; 02.03.2020 09:30:20.9290000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 02.03.2020 09:53:05.7790000; 02.03.2020 09:53:17.5710000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 02.03.2020 09:53:07.0660000; 02.03.2020 09:53:12.1720000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 02.03.2020 09:55:19.7790000; 02.03.2020 09:55:22.5450000
120200; Bildaufbereitung unterdrückt, bitte warten.; sinumerik_alarm_hmi; 02.03.2020 09:59:44.2120000; 02.03.2020 09:59:46.7610000
67308; WZ-Lader: EL/ES/E-Achse im Störbereich Q-Achse (Werkzeug - Magazin)  ==>> Kanal 3 Satz N601045; sinumerik_alarm_nck; 02.03.2020 10:36:58.8160000; 02.03.2020 10:37:12.0960000
