705540; Not-Halt am Haupt-Bedienfeld wurde ausgelöst.; sinumerik_alarm_plc_pmc; 02.12.2019 07:33:44.3230000; 
700119; Neues Log-File erstellt; sinumerik_alarm_plc_pmc; 02.12.2019 07:33:46.6460000; 02.12.2019 07:34:33.5680000
; ----- Start Alarmerfassung -----; ; 02.12.2019 07:35:24.6160000; 02.12.2019 07:35:24.6160000
700117; Störung beim Softwarenocken lesen (GUD9); sinumerik_alarm_plc_pmc; 02.12.2019 07:35:12.2060000; 
700119; Neues Log-File erstellt; sinumerik_alarm_plc_pmc; 02.12.2019 07:35:40.7320000; 
27251; PROFIsafe: F-Modul 1021, Master meldet Fehler CRC; sinumerik_alarm_nck; 02.12.2019 07:35:59.0640000; 
27021; Achse X_1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0680000; 
27021; Achse Y_1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0680000; 
27021; Achse Z_1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0680000; 
27021; Achse B_1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0680000; 
27021; Achse A_1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0680000; 
27021; Achse SP1 Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0680000; 
27021; Achse Q_1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0680000; 
27021; Achse EL1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0690000; 
27021; Achse ES1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0690000; 
27021; Achse E_1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0690000; 
27021; Achse ZM1_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0690000; 
27021; Achse Y_2_ Stop D ausgelöst; sinumerik_alarm_nck; 02.12.2019 07:35:59.0690000; 
380075; PROFIBUS/PROFINET: Ausfall DP-Peripherie Bus 1 Slave/Device 6 logische Basisadresse ; sinumerik_alarm_nck_drive; 02.12.2019 07:35:59.1280000; 
20144; Kanal 1: Satz N64300 Bewegungssynchronaktion: IDS=876 Zugriff auf Systemvariable nicht möglich; sinumerik_alarm_nck; 02.12.2019 07:35:59.1290000; 
27252; PROFIsafe: Slave/Device IM155-6 DP HF V3.1, Bus 1, Lebenszeichen-Fehler; sinumerik_alarm_nck; 02.12.2019 07:35:59.1440000; 
700122; Maschinensteuertafel Schubert MCI-2 ausgefallen; sinumerik_alarm_plc_pmc; 02.12.2019 07:35:59.1280000; 
380075; PROFIBUS/PROFINET: Ausfall DP-Peripherie Bus 1 Slave/Device 3 logische Basisadresse ; sinumerik_alarm_nck_drive; 02.12.2019 07:35:59.2340000; 
700316; Schutzschalter i.O. <Sofort Halt> (=1705C-QA3:14) fehlt; sinumerik_alarm_plc_pmc; 02.12.2019 07:35:59.1610000; 
700318; Schutzschalter i.O. <Halt nach Taktende> (=12005C-QA1:14) fehlt; sinumerik_alarm_plc_pmc; 02.12.2019 07:35:59.1610000; 
700319; Schutzschalter i.O. <Sofort Halt> (=240C-FC1:SIG:S3) fehlt; sinumerik_alarm_plc_pmc; 02.12.2019 07:35:59.1610000; 
700320; Schutzschalter i.O. <Sofort Halt> (=240C-FC2:SIG:S3) fehlt; sinumerik_alarm_plc_pmc; 02.12.2019 07:35:59.1610000; 
909010; PROFINET-IO-System(100) Gerätenummer:25 Sammelstörung; ; 02.12.2019 07:35:59.6240000; 
